Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_SMS_CALL_LOG:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (SMS ou MMS)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_SMS_CALL_LOG:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (SMS ou MMS)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_SMS_CALL_LOG:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (SMS ou MMS)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_SMS_CALL_LOG:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (SMS ou MMS)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_SMS_CALL_LOG:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (SMS ou MMS)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Outras mensagens na app)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Outras mensagens na app)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (Outras mensagens na app)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_OTHER_MESSAGES:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Outras mensagens na app)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Fotos)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Fotos)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (Fotos)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (Fotos)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (Fotos)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_PHOTOS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Fotos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Vídeos)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Vídeos)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (Vídeos)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_VIDEOS:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Vídeos)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Gravações de voz ou de som)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Gravações de voz ou de som)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (Gravações de voz ou de som)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_AUDIO:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Gravações de voz ou de som)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Ficheiros de música)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (Ficheiros de música)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (Ficheiros de música)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (Ficheiros de música)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (Ficheiros de música)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Ficheiros de música)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Ficheiros de música)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_MUSIC:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Ficheiros de música)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
